-10.5,-5.8249,-10.5,9.5628e-23
-9,-2.6796,-9,7.7344e-20
-7.5,0.036359,-7.5,6.2556e-17
-6,1.3037,-6,5.0595e-14
-4.5,-0.73038,-4.5,4.0922e-11
-3,-0.17072,-3,3.3098e-08
-1.5,9.2327,-1.5,2.6769e-05
0,-1.1671,0,0.021628
1.5,12.544,1.5,8.7558
3,13.74,3,15.253
4.5,12.341,4.5,13.315
6,12.42,6,11.61
7.5,9.939,7.5,10.124
9,6.6362,9,8.8279
10.5,7.71,10.5,7.6978
12,2.713,12,6.7123
13.5,7.3984,13.5,5.853
15,4.4528,15,5.1037
16.5,13.537,16.5,4.4503
18,4.1903,18,3.8806
19.5,3.5992,19.5,3.3838
21,8.6014,21,2.9506
22.5,2.1263,22.5,2.5729
24,0.23225,24,2.2435
25.5,-4.9524,25.5,1.9563
27,1.4769,27,1.7059
28.5,-0.88007,28.5,1.4875
30,1.171,30,1.2971
