-10.5,-0.90967,-10.5,0
-9,0.24938,-9,0
-7.5,-0.6274,-7.5,0
-6,2.1859,-6,0
-4.5,1.1841,-4.5,0
-3,-0.87873,-3,0
-1.5,-1.2838,-1.5,0
0,0.080194,0,0
1.5,0.18596,1.5,0.70012
3,1.8249,3,1.2146
4.5,-0.31893,4.5,1.5926
6,1.236,6,1.8703
7.5,2.8065,7.5,2.0745
9,2.3476,9,2.2244
10.5,5.081,10.5,2.3346
12,3.8765,12,2.4156
13.5,0.94093,13.5,2.4751
15,2.447,15,2.5188
16.5,0.92211,16.5,2.5509
18,2.6578,18,2.5746
19.5,3.0442,19.5,2.5919
21,3.0755,21,2.6046
22.5,2.0604,22.5,2.614
24,2.2595,24,2.6209
25.5,2.769,25.5,2.6259
27,2.8527,27,2.6297
28.5,2.7244,28.5,2.6324
30,2.189,30,2.6344
